OBJECTID,RESP_ID,YEAR,INTERVIEW_DATE,RESP_STATE,RESP_COUNTY,ZIP_CODE,ZIP_CODE_POP_DENSITY_QUINTILE,RESP_AGE,RESP_GENDER,RESP_COMBINED_SEX_BY_AGE,RESP_RACE_WHITE,RESP_RACE_BLACK,RESP_RACE_ASIAN,RESP_RACE_INDIGENOUS_AMERICAN,RESP_RACE_PACIFIC_ISLANDER,RESP_RACE_OTHER_RACE,RESP_RACE_UNKNOWN,RESP_RACE_DECLINED,RESP_RACE_OTHER_RACE_DETAIL,RESP_ETHNICITY_HISPANIC,RESP_COMBINED_RACE_ETHNICITY,RESP_BIRTH_COUNTRY,RESP_COMBINED_RACE_ETH_BIRTH,RESP_COMBINED_RACE_BY_AGE,RESP_RACE_BY_EDU,LANGUAGE,RESP_EDU_LEVEL,RESP_EDU_4_CATEGORIES,RESP_COMBINED_SEX_BY_EDU,RESP_COMBINED_AGE_BY_EDU,HH_INCOME,HH_ADULTS_COUNT,HH_18_OR_UNDER_COUNT,HH_WITH_KIDS_5_TO_18,HH_K_12_HOUSEHOLD,HH_MOBILE_INTERNET,HH_WIRED_BROADBAND,HH_SATELLITE_INTERNET,HH_DIAL_UP_INTERNET,HH_ANY_INTERNET_ACCESS,HH_CP_LANDLINE,HH_LL_CELL_PHONE,HH_LL_SMARTPHONE,RESP_LL_CELL_PHONE,HH_COMBINED_PHONE_ACCESS,HH_COMPUTER,HH_TABLET,HH_WITH_KIDS_COMP_PROGRAMS,HH_WITH_KIDS_INTERNET_PROGRAMS,HH_INTERNET_INTERRUPTED,RESP_AWARE_PHLCONNECT,RESP_AWARE_FREE_INTERNET,RESP_AWARE_FED_PROGRAM,HH_DISCOUNT_INTERNET_SIGN_UP,HH_ABILITY_TO_KEEP_INTERNET,HH_NO_DISCOUNT_INTERNET_REASON,HH_NO_DISCOUNT_INTERNET_OTHER,RESP_INTERNET_SATISFACTION,HH_NO_BB_REASON_INTERNET_COST,HH_NO_BB_REASON_COMP_COST,HH_NO_BB_REASON_SMARTPHONE,HH_NO_BB_REASON_OTHER_LOCATION,HH_NO_BB_REASON_UNINSTALLABLE,HH_NO_BB_REASON_PRIVACY,HH_NO_BB_REASON_TECH_COMFORT,HH_NO_BB_REASON_NOT_WANT,HH_NO_BB_REASON_DEBT,HH_NO_BB_REASON_OTHER,HH_NO_BB_REASON_PRIMARY,RESP_NO_BB_PAST_INTERNET,RESP_BB_COST_LIMIT,INTERVIEW_PHONE_TYPE,RDD_TYPE,STATISTICAL_WEIGHT
1,11046790,2021,18-Jun-21,1,1,19111,2,6,1,6,1,0,0,0,0,0,0,0,,2,1,#NULL!,1,3,1,9,3,2,1,7,99,2,0,#NULL!,0,1,1,2,2,1,#NULL!,#NULL!,1,1,2,1,1,#NULL!,#NULL!,2,2,2,2,#NULL!,#NULL!,#NULL!,,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,9,0,1,0.6784
2,11014587,2021,25-Jun-21,1,1,19148,2,5,2,11,1,0,0,0,0,0,0,0,,2,1,#NULL!,1,3,3,9,6,4,6,9,7,4,4,1,1,1,1,2,2,1,#NULL!,#NULL!,1,1,2,1,1,4,4,2,2,1,2,2,#NULL!,2,,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,0,1,0.3566
3,11015754,2021,21-Jun-21,1,1,19125,4,6,2,12,1,0,0,0,0,0,0,0,,2,1,#NULL!,1,3,1,9,3,2,4,7,4,2,0,#NULL!,0,1,1,2,2,1,#NULL!,#NULL!,8,1,2,1,2,#NULL!,#NULL!,2,2,2,2,#NULL!,#NULL!,#NULL!,,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,0,1,0.4429
4,11030999,2021,18-Jun-21,1,1,19143,4,5,1,5,0,1,0,0,0,0,0,0,,2,2,#NULL!,2,6,4,9,3,2,1,7,5,2,0,#NULL!,0,1,1,2,2,1,#NULL!,#NULL!,1,1,2,2,2,#NULL!,#NULL!,2,2,1,2,2,#NULL!,2,,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,8,0,1,0.7028
5,11038207,2021,19-Jun-21,1,1,19125,4,6,2,12,1,0,0,0,0,0,0,0,,1,3,2,3,9,7,9,1,1,4,7,98,1,0,#NULL!,0,2,2,2,2,2,#NULL!,#NULL!,2,1,2,2,2,#NULL!,#NULL!,#NULL!,2,2,2,#NULL!,#NULL!,#NULL!,,#NULL!,1,2,2,2,1,2,2,2,2,2,1,2,3,0,1,1.2302
6,11040005,2021,17-Jun-21,1,1,19116,1,6,2,12,1,0,0,0,0,0,0,0,,2,1,#NULL!,1,3,2,9,4,3,5,8,4,1,0,#NULL!,0,1,1,2,2,1,#NULL!,#NULL!,1,1,2,2,1,#NULL!,#NULL!,2,2,2,2,#NULL!,#NULL!,#NULL!,,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,0,1,0.9709
7,11031438,2021,18-Jun-21,1,1,19145,2,6,1,6,1,0,0,0,0,0,0,0,,2,1,#NULL!,1,3,2,9,4,3,2,8,6,1,0,#NULL!,0,1,1,2,2,1,#NULL!,#NULL!,1,1,2,1,2,#NULL!,#NULL!,2,2,1,2,2,#NULL!,2,,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,0,1,0.7652
8,11030790,2021,16-Jun-21,1,1,99998,3,6,2,12,1,0,0,0,0,0,0,0,,2,1,#NULL!,1,3,1,9,3,2,4,7,2,1,0,#NULL!,0,2,2,2,2,2,#NULL!,2,2,2,1,2,2,#NULL!,#NULL!,#NULL!,2,2,2,#NULL!,#NULL!,#NULL!,,#NULL!,2,1,1,1,2,2,1,1,2,2,2,2,4,0,1,0.8516
9,11020166,2021,16-Jun-21,1,1,99999,2,6,2,12,1,0,0,0,0,0,0,0,,2,1,#NULL!,1,3,1,9,3,2,4,7,98,1,0,#NULL!,0,2,2,2,2,2,#NULL!,9,2,2,1,2,2,#NULL!,#NULL!,#NULL!,2,2,2,#NULL!,#NULL!,#NULL!,,#NULL!,2,2,2,2,2,2,2,2,2,2,#NULL!,2,3,0,1,1.0884
10,11009107,2021,16-Jun-21,1,1,19150,3,6,1,6,0,1,0,0,0,0,0,0,,2,2,#NULL!,2,6,4,9,2,1,1,7,3,2,0,#NULL!,0,1,1,2,1,1,#NULL!,#NULL!,1,1,2,1,1,#NULL!,#NULL!,1,2,2,2,#NULL!,#NULL!,#NULL!,,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,0,1,0.5382
